,letter, ind, time
0,a,0,1.87210884354
1,l,1,2.23776092789
2,i,2,2.59289684555
3,c,3,2.87741890213
4,e,4,3.11067977211
5, ,5,3.4400109317
6,w,6,4.22243299744
7,a,7,4.43682279846
8,s,8,4.71662988922
9, ,9,5.01494493744
10,b,10,5.76157799027
11,e,11,6.00693478844
12,g,12,6.27469196579
13,i,13,6.54036894104
14,n,14,6.8403758075
15,n,15,7.13624182007
16,i,16,7.46725883743
17,n,17,7.77392998001
18,g,18,8.00533190033
19, ,19,8.32062378189
20,t,20,9.17083683273
21,o,21,9.44147982857
22, ,22,9.75369682571
23,g,23,10.3616129424
24,e,24,10.6257289912
25,t,25,10.9394749667
26, ,26,11.291210797
27,v,27,12.0552507904
28,e,28,12.4030238655
29,r,29,12.5818358925
30,y,30,12.7080339458
31, ,31,12.9832078483
32,t,32,13.2240199115
33,i,33,13.6748448875
34,r,34,13.9842697647
35,e,35,14.193204787
36,d,36,14.3934628036
37, ,37,14.6534248855
38,o,38,15.3566879299
39,f,39,15.4904197719
40, ,40,15.8889459636
41,s,41,16.4323159721
42,i,42,16.6504339244
43,t,43,16.9292317894
44,t,44,17.1694079902
45,i,45,17.4064389732
46,n,46,17.7037929561
47,g,47,17.9491237667
48, ,48,18.2204138305
49,b,49,18.9069558647
50,y,50,19.2006129291
51, ,51,19.4415418174
52,h,52,20.2111748722
53,e,53,20.3502599266
54,r,54,20.6658109691
55, ,55,20.9212459591
56,s,56,21.8083848026
57,i,57,22.099836972
58,s,58,22.2755857971
59,t,59,22.5710979965
60,e,60,22.7857507732
61,r,61,22.8568607834
62, ,62,23.2854048278
63,o,63,23.9871257808
64,n,64,24.30782285
65, ,65,24.5517617729
66,t,66,25.2433837917
67,h,67,25.4883069065
68,e,68,25.7528718975
69, ,69,25.9491719272
70,b,70,26.6259168651
71,a,71,26.8978919056
72,n,72,27.1554898288
73,k,73,27.4429978397
74, ,74,27.7878278759
75,a,75,28.4323848751
76,n,76,28.6712619331
77,d,77,28.9344789055
78, ,78,29.1388958957
79,o,79,29.7548669841
80,f,80,30.0772928264
81, ,81,30.2439369228
82,h,82,30.8894468811
83,none,-1,31.174027827
84,a,83,31.1865119007
85,v,84,31.4660228756
86,i,85,31.7244349983
87,n,86,31.9819327858
